Date,month_year,station_number,snow_depth,snow
2005-01-06,2005-01,725320,1.2000000476837158,True
2005-01-08,2005-01,725320,2.0,True
2005-01-09,2005-01,725320,1.2000000476837158,True
2005-01-10,2005-01,725320,1.2000000476837158,True
2005-01-13,2005-01,725320,1.2000000476837158,True
2005-01-14,2005-01,725320,1.2000000476837158,False
2005-01-15,2005-01,725320,1.2000000476837158,False
2005-01-16,2005-01,725320,1.2000000476837158,True
2005-01-17,2005-01,725320,1.2000000476837158,False
2005-01-18,2005-01,725320,1.2000000476837158,False
2005-01-19,2005-01,725320,1.2000000476837158,False
2005-01-22,2005-01,725320,1.2000000476837158,True
2005-01-23,2005-01,725320,1.2000000476837158,False
2005-01-24,2005-01,725320,1.2000000476837158,False
2005-01-29,2005-01,725320,1.2000000476837158,True
2005-01-30,2005-01,725320,1.2000000476837158,True
2005-02-09,2005-02,725320,1.2000000476837158,True
2005-02-10,2005-02,725320,1.2000000476837158,True
2005-02-11,2005-02,725320,1.2000000476837158,True
2005-02-20,2005-02,725320,1.2000000476837158,True
2005-03-01,2005-03,725320,1.2000000476837158,True
