Date,month_year,station_number,snow_depth,snow
2005-01-01,2005-01,725895,2.0,False
2005-01-02,2005-01,725895,3.0999999046325684,True
2005-01-04,2005-01,725895,3.0999999046325684,False
2005-01-05,2005-01,725895,2.0,False
2005-01-06,2005-01,725895,2.0,False
2005-01-07,2005-01,725895,3.0999999046325684,False
2005-01-08,2005-01,725895,3.9000000953674316,False
2005-01-09,2005-01,725895,2.0,True
2005-01-10,2005-01,725895,2.0,True
2005-01-11,2005-01,725895,5.099999904632568,True
2005-01-13,2005-01,725895,5.099999904632568,True
2005-01-14,2005-01,725895,5.099999904632568,False
2005-01-15,2005-01,725895,5.900000095367432,False
2005-01-16,2005-01,725895,5.099999904632568,False
2005-01-17,2005-01,725895,5.099999904632568,False
2005-01-18,2005-01,725895,3.0999999046325684,False
2005-01-19,2005-01,725895,2.0,False
2005-01-21,2005-01,725895,2.0,False
2005-01-22,2005-01,725895,2.0,False
2005-01-23,2005-01,725895,1.2000000476837158,False
2005-02-07,2005-02,725895,2.0,False
2005-03-29,2005-03,725895,1.2000000476837158,False
2005-04-08,2005-04,725895,1.2000000476837158,False
2005-11-07,2005-11,725895,2.0,True
2005-11-08,2005-11,725895,3.9000000953674316,True
2005-11-09,2005-11,725895,3.0999999046325684,True
2005-11-10,2005-11,725895,1.2000000476837158,True
2005-11-28,2005-11,725895,3.9000000953674316,False
2005-11-29,2005-11,725895,3.9000000953674316,False
2005-11-30,2005-11,725895,3.9000000953674316,True
2005-12-01,2005-12,725895,3.9000000953674316,True
2005-12-02,2005-12,725895,3.9000000953674316,False
2005-12-03,2005-12,725895,3.9000000953674316,False
2005-12-04,2005-12,725895,3.9000000953674316,True
2005-12-05,2005-12,725895,3.9000000953674316,True
2005-12-06,2005-12,725895,3.9000000953674316,True
2005-12-07,2005-12,725895,5.099999904632568,False
2005-12-08,2005-12,725895,5.099999904632568,False
2005-12-09,2005-12,725895,3.9000000953674316,False
2005-12-10,2005-12,725895,3.9000000953674316,True
2005-12-11,2005-12,725895,3.0999999046325684,False
2005-12-12,2005-12,725895,3.0999999046325684,False
2005-12-13,2005-12,725895,3.0999999046325684,True
2005-12-14,2005-12,725895,3.0999999046325684,False
2005-12-15,2005-12,725895,3.0999999046325684,False
2005-12-16,2005-12,725895,2.0,False
2005-12-17,2005-12,725895,2.0,False
2005-12-18,2005-12,725895,3.9000000953674316,False
2005-12-19,2005-12,725895,2.0,False
2005-12-20,2005-12,725895,1.2000000476837158,False
2006-01-14,2006-01,725895,2.0,True
2006-01-18,2006-01,725895,5.099999904632568,True
2006-01-19,2006-01,725895,5.099999904632568,True
2006-01-23,2006-01,725895,7.099999904632568,True
2006-01-24,2006-01,725895,5.900000095367432,True
2006-01-26,2006-01,725895,5.099999904632568,True
2006-01-27,2006-01,725895,5.900000095367432,False
