Date,month_year,station_number,snow_depth,snow
2005-01-05,2005-01,725335,1.2000000476837158,False
2005-01-06,2005-01,725335,1.2000000476837158,False
2005-01-07,2005-01,725335,1.2000000476837158,False
2005-01-08,2005-01,725335,3.9000000953674316,False
2005-01-09,2005-01,725335,3.9000000953674316,False
2005-01-10,2005-01,725335,3.9000000953674316,False
2005-01-11,2005-01,725335,2.0,False
2005-01-12,2005-01,725335,2.0,True
2005-01-17,2005-01,725335,1.2000000476837158,False
2005-01-19,2005-01,725335,1.2000000476837158,False
2005-01-20,2005-01,725335,1.2000000476837158,True
2005-01-21,2005-01,725335,3.0999999046325684,True
2005-01-22,2005-01,725335,5.900000095367432,False
2005-01-23,2005-01,725335,5.900000095367432,False
2005-01-24,2005-01,725335,5.900000095367432,False
2005-01-25,2005-01,725335,3.9000000953674316,False
2005-01-27,2005-01,725335,2.0,False
2005-01-28,2005-01,725335,2.0,False
2005-01-29,2005-01,725335,2.0,False
2005-01-30,2005-01,725335,5.099999904632568,False
2005-01-31,2005-01,725335,5.099999904632568,True
2005-02-01,2005-02,725335,5.099999904632568,True
2005-02-02,2005-02,725335,5.099999904632568,False
2005-02-03,2005-02,725335,5.099999904632568,True
2005-02-04,2005-02,725335,3.9000000953674316,True
2005-02-05,2005-02,725335,3.0999999046325684,True
2005-02-06,2005-02,725335,1.2000000476837158,False
2005-02-09,2005-02,725335,2.0,False
2005-02-10,2005-02,725335,3.9000000953674316,False
2005-02-11,2005-02,725335,1.2000000476837158,False
2005-02-16,2005-02,725335,2.0,False
2005-03-02,2005-03,725335,1.2000000476837158,False
2005-03-03,2005-03,725335,1.2000000476837158,False
2005-03-11,2005-03,725335,1.2000000476837158,True
2005-11-23,2005-11,725335,2.0,False
2005-12-01,2005-12,725335,1.2000000476837158,False
2005-12-02,2005-12,725335,1.2000000476837158,False
2005-12-04,2005-12,725335,3.0999999046325684,False
2005-12-05,2005-12,725335,3.0999999046325684,False
2005-12-06,2005-12,725335,3.0999999046325684,False
2005-12-09,2005-12,725335,7.099999904632568,False
2005-12-10,2005-12,725335,7.099999904632568,False
2005-12-11,2005-12,725335,5.900000095367432,False
2005-12-12,2005-12,725335,5.900000095367432,False
2005-12-13,2005-12,725335,5.900000095367432,False
2005-12-14,2005-12,725335,5.900000095367432,False
2005-12-15,2005-12,725335,3.0999999046325684,True
2005-12-16,2005-12,725335,3.0999999046325684,False
2005-12-17,2005-12,725335,3.0999999046325684,False
2005-12-18,2005-12,725335,3.0999999046325684,False
2005-12-19,2005-12,725335,3.0999999046325684,False
2005-12-20,2005-12,725335,3.0999999046325684,False
2005-12-21,2005-12,725335,2.0,False
2005-12-22,2005-12,725335,2.0,False
2005-12-23,2005-12,725335,2.0,False
2006-01-18,2006-01,725335,2.0,False
2006-01-19,2006-01,725335,2.0,False
2006-02-13,2006-02,725335,1.2000000476837158,False
2006-03-06,2006-03,725335,1.2000000476837158,True
2006-03-21,2006-03,725335,1.2000000476837158,False
2007-01-16,2007-01,725335,2.0,False
2007-01-17,2007-01,725335,1.2000000476837158,False
2007-01-18,2007-01,725335,1.2000000476837158,False
2007-01-21,2007-01,725335,3.9000000953674316,False
2007-01-22,2007-01,725335,3.9000000953674316,True
2007-01-23,2007-01,725335,3.9000000953674316,False
2007-01-24,2007-01,725335,3.9000000953674316,False
2007-01-25,2007-01,725335,3.9000000953674316,False
2007-01-26,2007-01,725335,3.9000000953674316,False
2007-01-27,2007-01,725335,2.0,False
2007-01-28,2007-01,725335,1.2000000476837158,False
2007-01-29,2007-01,725335,2.0,False
2007-01-30,2007-01,725335,3.9000000953674316,False
2007-01-31,2007-01,725335,3.9000000953674316,False
2007-02-01,2007-02,725335,2.0,False
2007-02-02,2007-02,725335,2.0,False
2007-02-03,2007-02,725335,2.0,False
2007-02-04,2007-02,725335,1.2000000476837158,False
2007-02-05,2007-02,725335,1.2000000476837158,False
2007-02-06,2007-02,725335,2.0,True
2007-02-07,2007-02,725335,5.099999904632568,False
2007-02-08,2007-02,725335,5.099999904632568,False
2007-02-09,2007-02,725335,5.099999904632568,False
2007-02-10,2007-02,725335,5.099999904632568,False
2007-02-11,2007-02,725335,5.099999904632568,False
2007-02-12,2007-02,725335,3.9000000953674316,False
2007-02-13,2007-02,725335,13.0,False
2007-02-14,2007-02,725335,18.899999618530273,False
2007-02-15,2007-02,725335,18.899999618530273,False
2007-02-16,2007-02,725335,18.899999618530273,False
2007-02-17,2007-02,725335,22.0,False
2007-02-18,2007-02,725335,22.0,False
2007-02-19,2007-02,725335,22.0,False
2007-02-20,2007-02,725335,7.900000095367432,False
2007-02-21,2007-02,725335,7.099999904632568,True
2007-02-22,2007-02,725335,5.099999904632568,False
2007-02-23,2007-02,725335,5.099999904632568,False
2007-02-25,2007-02,725335,3.0999999046325684,False
2007-02-26,2007-02,725335,2.0,False
2007-02-27,2007-02,725335,2.0,False
2007-03-01,2007-03,725335,2.0,False
2007-03-02,2007-03,725335,1.2000000476837158,False
2007-03-03,2007-03,725335,1.2000000476837158,False
2007-03-04,2007-03,725335,1.2000000476837158,False
2007-03-05,2007-03,725335,1.2000000476837158,False
2007-04-15,2007-04,725335,1.2000000476837158,False
2007-12-05,2007-12,725335,3.0999999046325684,True
2007-12-06,2007-12,725335,2.0,False
2007-12-07,2007-12,725335,3.0999999046325684,False
2007-12-08,2007-12,725335,2.0,False
2007-12-09,2007-12,725335,1.2000000476837158,False
2007-12-16,2007-12,725335,7.099999904632568,True
2007-12-17,2007-12,725335,7.099999904632568,False
2007-12-18,2007-12,725335,7.099999904632568,False
2007-12-19,2007-12,725335,3.9000000953674316,False
2007-12-20,2007-12,725335,3.9000000953674316,False
2007-12-22,2007-12,725335,1.2000000476837158,True
2007-12-27,2007-12,725335,1.2000000476837158,True
2008-01-01,2008-01,725335,2.0,False
2008-01-02,2008-01,725335,2.0,False
2008-01-03,2008-01,725335,2.0,False
2008-01-04,2008-01,725335,1.2000000476837158,False
2008-01-22,2008-01,725335,1.2000000476837158,True
2008-01-24,2008-01,725335,1.2000000476837158,False
2008-02-01,2008-02,725335,3.9000000953674316,True
2008-02-03,2008-02,725335,3.0999999046325684,False
2008-02-04,2008-02,725335,2.0,True
2008-02-13,2008-02,725335,2.0,False
2008-02-14,2008-02,725335,2.0,False
2008-02-20,2008-02,725335,1.2000000476837158,False
2008-02-21,2008-02,725335,1.2000000476837158,False
2008-02-22,2008-02,725335,2.0,True
2008-02-23,2008-02,725335,3.0999999046325684,False
2008-02-25,2008-02,725335,2.0,False
2008-02-26,2008-02,725335,3.0999999046325684,False
2008-02-27,2008-02,725335,3.0999999046325684,True
2008-02-28,2008-02,725335,3.0999999046325684,False
2008-02-29,2008-02,725335,3.0999999046325684,True
2008-03-01,2008-03,725335,1.2000000476837158,False
2008-03-05,2008-03,725335,3.9000000953674316,True
2008-03-06,2008-03,725335,3.9000000953674316,False
2008-03-07,2008-03,725335,3.0999999046325684,False
2008-03-08,2008-03,725335,3.0999999046325684,False
2008-03-10,2008-03,725335,1.2000000476837158,False
2008-12-02,2008-12,725335,1.2000000476837158,False
2008-12-17,2008-12,725335,1.2000000476837158,True
2008-12-18,2008-12,725335,1.2000000476837158,False
2009-01-14,2009-01,725335,3.0999999046325684,False
2009-01-28,2009-01,725335,5.900000095367432,True
2009-01-29,2009-01,725335,7.099999904632568,False
2009-01-30,2009-01,725335,5.900000095367432,True
2009-02-04,2009-02,725335,3.9000000953674316,False
2009-02-05,2009-02,725335,3.9000000953674316,False
2009-12-19,2009-12,725335,1.2000000476837158,False
2009-12-20,2009-12,725335,1.2000000476837158,True
2009-12-21,2009-12,725335,1.2000000476837158,True
2009-12-22,2009-12,725335,1.2000000476837158,False
2009-12-27,2009-12,725335,1.2000000476837158,False
2009-12-28,2009-12,725335,3.0999999046325684,False
2009-12-29,2009-12,725335,3.0999999046325684,False
